,Outputs
0,120.18545532226562
1,172.95663452148438
2,172.95663452148438
3,164.5065155029297
4,146.1422119140625
5,123.47801208496094
6,452.24151611328125
7,142.9718017578125
8,122.216796875
9,194.8473663330078
10,120.37733459472656
11,246.19960021972656
12,152.5878143310547
13,120.60765075683594
14,165.8324737548828
15,120.46208190917969
16,120.25016784667969
17,136.88665771484375
18,424.2728576660156
19,126.61117553710938
20,120.73875427246094
21,143.8442840576172
22,144.26809692382812
23,120.36079406738281
24,120.25128173828125
25,307.0074462890625
26,123.44200134277344
27,586.2960205078125
28,251.17405700683594
29,209.63938903808594
30,155.81983947753906
31,120.40129089355469
32,133.8381805419922
33,154.55776977539062
34,171.68820190429688
35,135.99107360839844
36,143.99014282226562
37,120.491455078125
38,306.1736145019531
39,152.73826599121094
40,130.7318115234375
41,134.87863159179688
42,187.2082061767578
43,129.32569885253906
44,120.48040771484375
45,179.0010528564453
46,137.1365203857422
47,137.3230743408203
48,379.2741394042969
49,130.80642700195312
50,151.2627716064453
51,280.50335693359375
52,120.71992492675781
53,152.7797088623047
54,120.2294921875
55,323.2383728027344
56,275.7599182128906
57,135.83644104003906
58,173.96994018554688
59,120.64579772949219
60,320.94525146484375
61,149.29180908203125
62,128.25006103515625
63,418.61480712890625
64,121.16534423828125
65,125.7100830078125
66,406.529296875
67,366.2501220703125
68,122.05726623535156
69,120.50537109375
70,145.06324768066406
71,132.8236846923828
72,141.3714141845703
73,148.12786865234375
74,159.88766479492188
75,151.91697692871094
76,300.7043762207031
77,133.24899291992188
78,140.009765625
79,139.84371948242188
80,167.25733947753906
81,139.34336853027344
82,143.82797241210938
83,191.4860382080078
84,166.4342803955078
85,120.78338623046875
86,120.13626098632812
87,165.5547332763672
88,406.1565856933594
89,236.46652221679688
90,158.2647247314453
91,128.59072875976562
92,143.19586181640625
93,144.5608673095703
94,467.4084777832031
95,124.13388061523438
96,201.54457092285156
97,134.25149536132812
98,167.87054443359375
99,120.29606628417969
100,148.0928192138672
101,142.9539031982422
102,126.05316162109375
103,127.25244140625
104,128.54957580566406
105,321.0161437988281
106,120.00196838378906
107,134.70411682128906
108,122.17987060546875
109,161.81602478027344
110,155.55325317382812
111,375.19976806640625
112,429.9089660644531
113,187.4974365234375
114,277.97479248046875
115,219.15692138671875
116,120.49275207519531
117,120.90280151367188
118,120.19900512695312
119,177.4586639404297
120,228.0948486328125
121,122.36106872558594
122,153.1982879638672
123,257.2514343261719
124,233.5371856689453
125,219.1116180419922
126,262.73919677734375
127,143.6893310546875
128,168.9090118408203
129,281.1443176269531
130,128.22061157226562
131,120.47254943847656
132,230.66310119628906
133,133.37368774414062
134,149.0359649658203
135,323.2749938964844
136,138.10682678222656
137,121.81114196777344
138,120.28733825683594
139,150.2560272216797
140,451.1089782714844
141,141.2481231689453
142,169.49859619140625
143,161.64889526367188
144,122.94973754882812
145,133.2758331298828
146,139.1127166748047
147,133.33409118652344
148,134.64065551757812
149,145.20654296875
150,241.52784729003906
151,132.8509521484375
152,168.27357482910156
153,120.79705810546875
154,282.0776672363281
155,172.1462860107422
156,120.18695068359375
157,150.04966735839844
158,359.07232666015625
159,120.29508972167969
160,128.88070678710938
161,134.48818969726562
162,428.3664855957031
163,120.83720397949219
164,120.33355712890625
165,228.20504760742188
166,120.19479370117188
167,120.32595825195312
168,122.91903686523438
169,123.70359802246094
170,225.89198303222656
171,143.9520263671875
172,120.20181274414062
173,330.4791564941406
174,130.5817108154297
175,120.37413024902344
176,252.18675231933594
177,120.50581359863281
178,330.5242919921875
179,170.79998779296875
180,319.4429626464844
181,124.10983276367188
182,371.6832275390625
183,141.45008850097656
184,180.53395080566406
185,120.69351196289062
186,203.0265655517578
187,384.0405578613281
188,162.3548583984375
189,161.14495849609375
190,566.595458984375
191,122.68417358398438
192,121.38853454589844
193,149.724365234375
194,120.40789794921875
195,510.3953857421875
196,166.4207763671875
197,119.96466064453125
198,281.9316101074219
199,120.11799621582031
200,121.09976196289062
201,120.76316833496094
202,145.25621032714844
203,345.08892822265625
204,121.12742614746094
205,461.97943115234375
206,119.83416748046875
207,128.81582641601562
208,367.3171081542969
209,198.5343780517578
210,120.33580017089844
211,336.000732421875
212,119.63882446289062
213,210.7662811279297
214,119.98899841308594
215,121.20460510253906
216,119.73918151855469
217,121.53947448730469
218,137.916259765625
219,125.03083801269531
220,239.18447875976562
221,119.64939880371094
222,119.75540161132812
223,129.35533142089844
224,132.0789031982422
225,119.72909545898438
226,122.16366577148438
227,123.96040344238281
228,164.86366271972656
229,344.0225524902344
230,132.2523956298828
231,186.3210906982422
232,358.93408203125
233,122.49078369140625
234,120.07212829589844
235,132.85491943359375
236,135.93797302246094
237,128.38931274414062
238,153.59779357910156
239,316.6939392089844
240,120.8690185546875
241,159.61976623535156
242,126.73493957519531
243,120.12237548828125
244,156.10598754882812
245,134.18606567382812
246,127.54879760742188
247,120.31121826171875
248,128.06373596191406
249,156.43003845214844
250,131.11587524414062
251,255.89015197753906
252,168.30506896972656
253,531.3695678710938
254,128.08721923828125
255,153.9856719970703
256,121.93867492675781
257,239.8220977783203
258,122.48040771484375
259,167.66224670410156
260,257.8662109375
261,127.96424865722656
262,280.7220153808594
